t_secs,rel_size_bytes,dead_tup,pending,total
626,36700160,128323,222,6235
631,36700160,129325,222,7237
636,36700160,130329,219,8238
641,36749312,396,218,9240
646,36749312,1399,216,10241
651,36749312,2402,215,11243
656,36749312,3405,213,12244
661,36749312,4407,213,13246
666,36749312,5410,212,14248
671,36749312,6412,211,15249
676,36749312,7415,210,16251
681,36749312,8417,210,17253
686,36749312,9420,210,18256
691,36749312,10422,210,19258
696,36749312,11424,210,20260
701,36749312,401,209,21262
706,36749312,1402,210,22264
711,36749312,2405,209,23266
716,36749312,3407,209,24268
721,36749312,4411,207,25270
726,36749312,5414,206,26272
731,36749312,6417,205,27274
736,36749312,7420,204,28276
741,36749312,8422,205,29279
746,36749312,9425,204,30281
751,36749312,10428,205,31285
756,36749312,11431,207,32290
761,36749312,402,205,33292
766,36749312,1404,205,34294
771,36749312,2406,205,35296
776,36749312,3408,204,36297
781,36749312,4410,204,37299
786,36749312,5413,203,38301
791,36749312,6415,202,39302
796,36749312,7417,202,40304
801,36749312,8419,201,41305
806,36749312,9422,200,42307
811,36749312,10424,200,43309
816,36749312,11426,199,44310
821,36749312,401,198,45312
826,36749312,1403,198,46314
831,36749312,2405,198,47316
836,36749312,3409,196,48318
841,36749312,4411,196,49320
846,36749312,5413,196,50322
851,36749312,6416,195,51324
856,36749312,7420,192,52325
861,36749312,8422,192,53327
866,36749312,9425,192,54330
871,36749312,10427,192,55332
876,36749312,11429,191,56333
881,36749312,401,190,57335
886,36749312,1403,190,58337
891,36749312,2406,189,59339
896,36749312,3408,188,60340
901,36749312,4411,187,61342
906,36749312,5414,185,62343
911,36749312,6416,185,63345
916,36749312,7419,184,64347
921,36749312,8422,183,65349
926,36749312,9425,182,66351
931,36749312,10427,182,67353
936,36749312,11430,181,68355
941,36749312,401,181,69357
946,36749312,1403,181,70359
951,36749312,2406,180,71361
956,36749312,3410,178,72363
961,36749312,4413,177,73365
966,36749312,5415,177,74367
971,36749312,6418,176,75369
976,36749312,7421,175,76371
981,36749312,8423,174,77372
986,36749312,9426,174,78375
991,36749312,10428,174,79377
996,36749312,11431,172,80378
1001,36749312,601,173,81381
1006,36749312,1603,174,82384
1011,36749312,2605,173,83385
1016,36749312,3608,172,84387
1021,36749312,4611,171,85389
1026,36749312,5613,171,86391
1031,36749312,6615,171,87393
1037,36749312,7617,171,88395
1042,36749312,8619,171,89397
1047,36749312,9622,170,90399
1052,36749312,10625,169,91401
1057,36749312,11628,168,92403
1062,36749312,601,168,93405
1067,36749312,1604,167,94407
1072,36749312,2606,167,95409
1077,36749312,3608,167,96411
1082,36749312,4611,166,97413
1087,36749312,5613,166,98415
1092,36749312,6615,166,99417
1097,36749312,7617,167,100420
1102,36749312,8619,169,101424
1107,36749312,9622,169,102427
1112,36749312,10624,169,103429
1117,36749312,11627,168,104431
1122,36749312,12630,167,105433
1127,36749312,13632,167,106435
1132,36749312,14636,166,107438
1137,36749312,15639,164,108439
1142,36749312,16642,164,109442
1147,36749312,17645,163,110444
1152,36749312,18646,164,111446
1157,36749312,19650,163,112449
1162,36749312,20652,163,113451
1167,36749312,21655,162,114453
1172,36749312,22657,162,115455
1177,36749312,23660,161,116457
1182,36945920,602,161,117459
1187,36945920,1604,163,118463
1192,36945920,2606,163,119465
1197,36945920,3609,162,120467
1202,36945920,9611,163,1366
1207,36945920,10613,162,2367
1212,36945920,126719,162,3369
1217,36945920,127721,161,4370
1222,36945920,128725,159,5372
1227,36945920,129729,156,6373
1232,36945920,130731,157,7376
1237,36945920,131733,156,8377
1242,36945920,601,157,9380
1247,36945920,1604,156,10382
1252,36945920,2606,156,11384
1257,36945920,3609,155,12386
1260,36945920,4010,260,12892
